<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.NVDA,D,20101004,000000,11.2400000,11.4300000,11.0100000,11.2300000,18184874
US1.NVDA,D,20101005,000000,11.4800000,11.5000000,11.2900000,11.3200000,18266877
US1.NVDA,D,20101006,000000,11.3200000,11.3700000,10.6700000,10.7800000,25753399
US1.NVDA,D,20101007,000000,10.8200000,10.8400000,10.3800000,10.7000000,18732301
US1.NVDA,D,20101008,000000,10.6500000,10.9500000,10.5100000,10.8600000,16998198
US1.NVDA,D,20101011,000000,10.9600000,11.0000000,10.7600000,10.8000000,10921200
US1.NVDA,D,20101012,000000,10.7500000,11.0700000,10.6300000,11.0300000,13974353
US1.NVDA,D,20101013,000000,11.2000000,11.5000000,11.0800000,11.3400000,23472395
US1.NVDA,D,20101014,000000,11.3500000,11.3700000,11.1100000,11.1700000,13957003
US1.NVDA,D,20101015,000000,11.3400000,11.4700000,11.1600000,11.2900000,15530794
US1.NVDA,D,20101018,000000,11.3000000,11.4100000,11.1000000,11.3600000,10962674
US1.NVDA,D,20101019,000000,11.1300000,11.3700000,11.0200000,11.2900000,21213483
US1.NVDA,D,20101020,000000,11.3000000,11.6000000,11.1000000,11.2900000,18871441
US1.NVDA,D,20101021,000000,11.3000000,11.3200000,10.9200000,11.0900000,24974792
US1.NVDA,D,20101022,000000,11.1600000,11.8900000,11.0400000,11.7900000,32095718
US1.NVDA,D,20101025,000000,11.9000000,11.9950000,11.7800000,11.9100000,15738628
US1.NVDA,D,20101026,000000,11.8000000,12.0500000,11.6700000,11.8700000,16630779
US1.NVDA,D,20101027,000000,11.7800000,12.0800000,11.7300000,12.0300000,12025552
US1.NVDA,D,20101028,000000,12.2000000,12.2400000,11.9400000,12.0400000,17195546
US1.NVDA,D,20101029,000000,12.0300000,12.1500000,11.9000000,12.0300000,11067570
US1.NVDA,D,20101101,000000,12.1000000,12.2900000,11.9400000,12.0300000,11467247
US1.NVDA,D,20101102,000000,12.0900000,12.4900000,12.0200000,12.2800000,14129616
US1.NVDA,D,20101103,000000,12.3700000,12.4600000,12.0500000,12.3800000,16398243
US1.NVDA,D,20101104,000000,12.5000000,12.6300000,12.3800000,12.4000000,16846049
US1.NVDA,D,20101105,000000,12.4900000,12.7200000,12.4300000,12.6000000,17670443
US1.NVDA,D,20101108,000000,12.5900000,12.7700000,12.5100000,12.6600000,14488480
US1.NVDA,D,20101109,000000,12.6600000,12.7600000,12.5200000,12.5800000,15029513
US1.NVDA,D,20101110,000000,12.6800000,12.7400000,12.5000000,12.7380000,12639741
US1.NVDA,D,20101111,000000,12.4400000,12.8200000,12.2700000,12.5900000,25058622
US1.NVDA,D,20101112,000000,13.0800000,13.6800000,13.0200000,13.2500000,51137446
US1.NVDA,D,20101115,000000,13.3200000,13.5100000,13.0700000,13.1100000,17008738
US1.NVDA,D,20101116,000000,12.8900000,13.0600000,12.6900000,12.7100000,16926881
US1.NVDA,D,20101117,000000,12.6900000,13.0700000,12.5800000,12.9100000,12946575
US1.NVDA,D,20101118,000000,13.1100000,13.4500000,13.0900000,13.3100000,23879752
US1.NVDA,D,20101119,000000,13.2500000,13.8000000,13.2400000,13.7600000,17293889
US1.NVDA,D,20101122,000000,13.7200000,13.8400000,13.5400000,13.7700000,10990715
US1.NVDA,D,20101123,000000,13.5700000,13.7400000,13.3400000,13.4400000,10837715
US1.NVDA,D,20101124,000000,13.6000000,13.8200000,13.5700000,13.7600000,9308160
US1.NVDA,D,20101126,000000,13.7600000,13.8400000,13.5500000,13.5700000,3388734
US1.NVDA,D,20101129,000000,13.5300000,13.8000000,13.4800000,13.7600000,10634346
US1.NVDA,D,20101130,000000,13.5500000,13.6800000,13.3600000,13.6100000,16829321
US1.NVDA,D,20101201,000000,13.8800000,14.2950000,13.8600000,14.1900000,14844080
US1.NVDA,D,20101202,000000,14.2400000,14.4700000,14.2000000,14.3900000,12469795
US1.NVDA,D,20101203,000000,14.3400000,14.7900000,14.2800000,14.7800000,14620966
US1.NVDA,D,20101206,000000,14.8300000,14.8700000,14.4500000,14.5000000,10733271
US1.NVDA,D,20101207,000000,14.8500000,15.3300000,14.8200000,14.9800000,24248679
US1.NVDA,D,20101208,000000,14.9600000,15.2700000,14.8500000,15.1100000,12906139
US1.NVDA,D,20101209,000000,14.7500000,14.9600000,14.5400000,14.8600000,22098705
US1.NVDA,D,20101210,000000,14.8700000,15.0900000,14.8200000,14.9500000,10864896
US1.NVDA,D,20101213,000000,15.0200000,15.0400000,14.5300000,14.6000000,14604300
US1.NVDA,D,20101214,000000,14.8700000,15.1200000,14.5700000,14.6000000,18117546
US1.NVDA,D,20101215,000000,14.6200000,14.8000000,14.2500000,14.2700000,14081495
US1.NVDA,D,20101216,000000,14.3800000,14.5000000,14.2500000,14.2890000,15408042
US1.NVDA,D,20101217,000000,14.3100000,14.4500000,14.1300000,14.3800000,12010734
US1.NVDA,D,20101220,000000,14.4200000,14.4900000,14.3000000,14.3200000,8308293
US1.NVDA,D,20101221,000000,14.4500000,14.8700000,14.4400000,14.8700000,10995535
US1.NVDA,D,20101222,000000,14.8400000,15.0500000,14.7000000,15.0300000,11653900
US1.NVDA,D,20101223,000000,15.0200000,15.0300000,14.8600000,14.9100000,6616317
US1.NVDA,D,20101227,000000,14.8500000,15.1100000,14.6100000,15.0000000,6292882
US1.NVDA,D,20101228,000000,15.0000000,15.1000000,14.8500000,14.9300000,4650471
US1.NVDA,D,20101229,000000,14.9300000,15.0500000,14.8000000,14.9300000,4267772
US1.NVDA,D,20101230,000000,14.9200000,15.0800000,14.8700000,15.0000000,4081470
US1.NVDA,D,20101231,000000,15.0000000,15.4200000,14.9797000,15.4200000,9461886
US1.NVDA,D,20110103,000000,15.5200000,15.9700000,15.5000000,15.8300000,18529636
US1.NVDA,D,20110104,000000,15.9000000,15.9200000,15.4200000,15.7700000,15784702
US1.NVDA,D,20110105,000000,16.0600000,17.0000000,15.9000000,16.9900000,34157701
US1.NVDA,D,20110106,000000,17.4000000,19.3400000,17.3700000,19.3400000,81428294
US1.NVDA,D,20110107,000000,19.1119000,19.9300000,18.6800000,19.9000000,61994900
US1.NVDA,D,20110110,000000,19.5300000,20.6700000,19.3600000,20.6300000,39657424
US1.NVDA,D,20110111,000000,20.8800000,21.1100000,19.8700000,20.3000000,64941246
US1.NVDA,D,20110112,000000,20.3300000,23.3700000,20.2500000,23.3451000,83973366
US1.NVDA,D,20110113,000000,23.1000000,23.8400000,22.3800000,23.3800000,66205346
US1.NVDA,D,20110114,000000,22.9900000,23.9800000,22.8500000,23.5800000,38988042
US1.NVDA,D,20110118,000000,23.2700000,23.4300000,22.4700000,23.0300000,43806622
US1.NVDA,D,20110119,000000,23.0600000,23.6000000,22.3600000,22.4000000,28990266
US1.NVDA,D,20110120,000000,22.1900000,22.5600000,21.7900000,22.4200000,27091472
US1.NVDA,D,20110121,000000,22.6300000,22.9900000,22.1800000,22.2100000,17505680
US1.NVDA,D,20110124,000000,23.2500000,25.0500000,22.9800000,24.7200000,50165651
US1.NVDA,D,20110125,000000,24.6200000,24.8800000,23.8100000,23.9600000,26411558
US1.NVDA,D,20110126,000000,24.2200000,25.0000000,24.0500000,24.5200000,26103203
US1.NVDA,D,20110127,000000,24.8900000,24.9500000,24.0000000,24.4800000,16125860
US1.NVDA,D,20110128,000000,24.5300000,24.9400000,23.2000000,23.7800000,26804033
US1.NVDA,D,20110131,000000,23.8000000,24.2500000,23.4100000,23.9200000,17634025
US1.NVDA,D,20110201,000000,24.1300000,24.6500000,23.9700000,24.4600000,15872158
US1.NVDA,D,20110202,000000,24.3700000,26.1700000,24.3300000,25.5900000,39570758
